area,bedrooms,bathrooms,age,price
1712,5,2,34,822343
1004,1,1,13,398321
3053,4,1,32,870391
2806,4,3,16,481712
2628,5,1,8,891204
1943,4,2,22,752448
1639,5,3,4,956036
1512,3,4,15,820763
4256,5,2,23,900132
1060,1,2,18,310222
1044,6,4,10,329766
1567,6,2,28,216931
2591,1,4,34,875622
2705,6,4,45,785343
4939,5,2,19,163346
1017,3,1,39,451124
2428,6,1,41,964533
4236,3,4,33,90605
2605,1,3,0,950300
4479,3,4,42,543554
3078,4,4,35,283238
853,2,4,19,259267
2107,4,1,42,906253
4262,1,1,6,532662
3587,6,1,8,416643
3076,6,4,16,370015
2073,3,3,7,910394
2563,5,1,6,883980
3557,2,2,47,963648
1637,5,2,35,288651
1559,1,2,9,283752
3912,6,4,17,74813
1592,3,2,18,742094
3740,6,4,38,252511
3617,5,2,13,467821
2966,5,3,45,394207
1155,2,4,21,342136
4563,2,2,13,956339
1822,3,1,43,122792
3900,2,4,40,860891
1445,5,1,16,342683
3201,5,1,32,418203
3762,1,1,31,722642
2375,5,1,16,584150
1369,3,2,3,469093
1175,4,2,5,762526
2666,1,4,40,934642
3170,1,4,27,612262
1453,3,4,17,397235
2707,3,2,2,78941
1627,2,4,0,170944
3913,1,1,21,969641
3077,2,2,49,323903
4514,5,4,8,237241
3788,1,1,40,658792
2132,1,4,16,328361
3832,6,3,10,90115
3710,4,4,47,163668
2516,1,3,28,675550
2987,5,4,35,505673
1384,2,4,45,412479
2201,2,2,27,813934
2805,6,2,35,874629
2138,4,3,0,378914
4586,5,2,7,507592
3908,2,1,4,685656
3011,3,1,44,586265
2599,5,3,9,171263
3456,5,1,34,453906
1258,4,1,2,993199
2676,2,4,23,654596
1062,5,2,37,249312
3384,6,1,35,317095
4086,6,1,9,96542
2993,2,2,27,793215
1342,6,1,8,507239
2528,3,1,2,51773
3377,4,2,19,595175
2541,6,4,23,895687
4889,6,1,50,614607
4041,3,2,2,770221
4558,4,1,22,804377
1970,5,1,13,827991
2969,4,4,43,822840
1943,1,3,15,753204
2820,2,3,42,256606
2952,2,2,6,431913
4309,1,3,22,502248
4071,3,2,49,123372
3765,1,3,35,746503
2596,5,4,26,396239
1933,5,2,39,703425
4974,2,3,47,379164
4842,5,4,9,745612
1544,2,3,15,939208
1185,1,1,10,180679
1698,1,1,11,804717
2052,6,4,26,993767
2110,6,1,1,364910
4258,1,1,11,581756
